,PC1,PC2,PC3
0,11.0973625,7.4463863,1.7562703
1,10.431038,7.3325295,2.464828
2,10.262912,7.749965,1.7013003
3,9.814544,7.6227126,1.3796866
4,10.890068,7.303964,2.7077432
5,11.075665,7.2633886,2.7763705
6,10.133446,7.4194455,1.895777
7,9.96018,7.430066,1.5069907
8,10.005259,7.609159,1.5833548
9,10.093001,7.3362627,1.6622893
10,9.857493,7.7041054,1.398742
11,11.296018,7.6043973,1.6781937
12,10.660592,7.3776836,2.6746032
13,10.553026,7.4773016,2.5057714
14,9.802382,7.7257247,1.35427
15,10.244584,7.3147016,1.7120348
16,10.103541,7.3353715,1.8181238
17,10.771664,7.2811565,2.434063
18,10.671753,7.4245615,2.6111825
19,10.92114,7.2329674,2.6478238
20,11.2208,7.5539327,1.7532939
21,11.284525,7.603556,1.6944396
22,10.209891,7.594006,1.7184217
23,9.86344,7.6753798,1.4139991
24,10.884566,7.3096642,2.7102418
25,10.300669,7.7742214,1.7399728
26,11.25168,7.4935255,1.819835
27,11.279148,7.51674,1.7894053
28,10.03299,7.400496,1.6083072
29,10.30782,7.2974877,2.0437698
30,11.112335,7.540708,1.8456844
31,10.469117,7.685059,2.2285144
32,10.154207,7.6062574,1.6743567
33,10.561242,7.3269672,2.6785781
34,11.248821,7.501423,1.8083861
35,11.137133,7.5475364,1.7977921
36,10.520482,7.636136,2.1290548
37,11.038893,7.314668,2.8031764
38,10.138101,7.486179,1.6968302
39,10.48541,7.6642056,2.0455532
40,9.9882,7.4951987,1.571023
41,11.241079,7.5208907,1.7357055
42,10.136596,7.644304,1.6292237
43,10.668388,7.432776,2.5751877
44,10.497143,7.5871696,2.072442
45,10.622727,7.409417,2.6301064
46,10.62208,7.4310327,2.6684346
47,-0.9209658,7.196719,9.931193
48,-1.2628033,7.3810215,10.69041
49,1.5664117,11.961641,5.0747585
50,9.889391,7.3203397,1.5966446
51,-1.1189796,10.388845,4.9100046
52,-1.0892556,10.363335,4.959011
53,1.5008916,12.052762,5.020936
54,1.615511,9.707024,3.6299284
55,2.6240125,11.428191,6.7263803
56,2.7191224,11.605245,7.0005455
57,1.621146,9.697646,3.6422358
58,1.7434657,9.624878,3.7591572
59,1.4650127,9.941801,3.9516268
60,1.3798323,9.841994,3.5839
61,2.4747696,11.359331,6.9771
62,1.5236622,9.6170845,3.695007
63,1.9968928,11.677615,4.3669863
64,2.686699,11.205391,6.710486
65,-1.0320343,10.335027,5.039226
66,2.4542325,11.358478,6.921176
67,1.5594488,9.628538,3.762461
68,-1.1476154,10.342012,4.886274
69,1.535055,9.635377,3.7016451
70,2.340945,11.414355,7.1077547
71,1.5219615,9.648299,3.6447632
72,2.5009468,11.446297,6.8577228
73,2.579184,11.432434,6.8349447
74,2.5346644,11.365193,6.883254
75,1.4242344,11.907206,5.051174
76,2.753635,11.266979,6.6817393
77,2.5524907,11.407187,6.908641
78,1.50462,9.714571,3.7475631
79,-1.1079593,10.373619,4.9514546
80,2.1654363,9.582381,4.0837593
81,2.742743,11.573347,7.0438514
82,2.684246,11.232706,6.7339
83,2.2457592,11.1704235,6.879026
84,1.2785295,9.792972,4.056602
85,2.7361028,11.572616,7.029905
86,2.4266386,11.294254,7.008447
87,-0.9336922,10.276931,5.2691426
