,PC1,PC2,PC3
0,-27.1424,12.318641,-11.437192
1,-41.35884,13.111381,-0.76301706
2,-36.74202,6.2100735,-2.0605793
3,-31.999405,-3.4038162,-5.9488406
4,-34.129463,19.290884,-0.31811166
5,-28.498423,25.541988,-2.326191
6,-46.37744,3.9369729,-0.8971386
7,-36.46615,-3.6197977,-2.046708
8,-37.350754,-0.47846773,-7.3073854
9,-34.118973,4.7395635,-7.115024
10,-32.484184,-0.35567755,-10.819428
11,-32.706013,4.1334467,-16.693295
12,-37.030384,13.274212,-10.430487
13,-44.122078,12.605131,-11.348659
14,-36.54346,-6.4975896,-10.350704
15,-27.971855,9.1357,-5.9285417
16,-42.452545,6.535155,1.384882
17,-29.697971,15.553219,-7.0817695
18,-35.68961,13.967709,-5.242788
19,-29.716105,20.245272,-4.0659227
20,-31.758406,8.066662,-19.407475
21,-33.913467,8.622759,-14.48298
22,-31.369287,5.5403943,-1.6874909
23,-29.044123,1.4128511,-6.528829
24,-35.42152,21.748306,-3.1950843
25,-39.61147,0.9837817,-2.014999
26,-26.842953,10.09275,-24.098593
27,-25.368319,9.16109,-19.695429
28,-40.038937,4.5180163,-6.2804427
29,-47.538597,10.038691,-2.2690203
30,-30.899767,12.008471,-16.504969
31,-47.697937,8.735164,-9.224929
32,-33.478203,0.8233947,-2.7145133
33,-35.73703,17.653322,-8.967162
34,-24.002014,4.6200175,-20.476076
35,-37.024315,10.624369,-19.50834
36,-46.040527,4.416194,-12.252539
37,-33.18324,24.572042,0.7801304
38,-34.118973,4.7395635,-7.115024
39,-39.457806,4.728139,-13.383417
40,-37.350754,-0.47846773,-7.3073854
41,-29.08895,7.236602,-14.798758
42,-35.836872,2.3408816,1.87699
43,-39.785213,11.7458725,-6.785693
44,-45.550022,7.6302133,-14.628822
45,-40.10461,16.630926,-6.5786324
46,-41.183846,18.418772,-13.151229
47,12.257739,-13.60843,4.994972
48,22.88024,-26.110586,-6.9293065
49,-9.242595,16.639135,17.307005
50,-28.715061,0.20057583,2.6114652
51,15.238324,17.00235,17.744612
52,16.404163,14.983848,12.437357
53,-12.114383,12.43084,15.0857
54,-17.845886,16.572453,-0.26158792
55,-22.434568,15.718998,11.728753
56,-25.730282,-2.651027,11.448218
57,-12.950637,15.246499,1.6380322
58,-14.543521,12.994148,-3.9713955
59,-18.019701,21.269026,9.257576
60,-18.148966,20.797022,-5.2621994
61,-23.8713,4.975266,6.229926
62,-18.02976,21.288136,2.2426605
63,-16.91401,18.480011,14.769851
64,-13.604259,1.773903,4.7006435
65,13.7367735,15.669501,8.948232
66,-22.830688,9.9305,5.9364386
67,-13.663201,19.98258,-0.6104164
68,16.013788,20.75823,10.787821
69,-12.550224,19.839172,4.5295863
70,-23.047237,4.9068007,11.328419
71,-13.966356,24.297523,2.4108825
72,-20.674711,9.489205,10.588918
73,-18.669086,7.037226,6.422522
74,-17.695536,5.396736,11.277084
75,-10.780648,14.659363,12.277079
76,-19.532946,2.683237,1.1063987
77,-20.093864,2.0870533,8.06505
78,-16.732758,16.78506,4.6457405
79,12.097015,16.829945,12.959809
80,-16.511711,8.453076,-5.5720353
81,-24.219244,-1.4346955,14.947737
82,-13.481496,4.734879,2.1619446
83,-21.828255,7.6050367,17.020142
84,8.327424,-21.807154,-17.712399
85,-29.398577,-0.17485692,14.607692
86,-26.622274,8.51036,9.9493685
87,14.810793,11.138152,4.191232
88,18.025003,-11.791539,1.0617977
89,32.17369,3.8508902,-2.875441
90,20.466993,-27.735046,-0.6449452
91,9.204002,-4.2601166,-3.4198015
92,-21.777298,-19.353376,10.715648
93,-6.252926,-18.486513,27.729956
94,7.588675,24.581446,0.07030272
95,-26.78257,-15.577543,10.5129595
96,-4.2719183,-16.084301,30.38032
97,-16.86998,-13.355691,-18.343765
98,0.658002,-2.2807035,30.223671
99,-21.14005,-13.294512,-16.876545
100,-10.180773,-7.3526287,-18.452114
101,-2.0845752,-12.693482,31.688948
102,-18.641508,-9.564842,-16.615736
103,-14.713512,-8.324683,8.036452
104,-28.328146,-19.646603,-7.046066
105,-19.425365,-8.442059,4.1703296
106,-6.2555833,7.828302,24.229507
107,-0.43291372,25.004992,-10.987526
108,6.4008284,8.744971,14.451019
109,-1.0307038,-17.962763,9.928319
110,-17.137579,-21.979258,-1.7370024
111,-15.679598,-12.918565,12.353095
112,-5.9611125,23.776203,-13.505903
113,-10.739748,-20.550453,-0.62633634
114,13.239216,5.319702,18.217892
115,-13.874499,-12.251138,3.431232
116,-1.4096851,22.0989,-6.5047917
117,13.970506,5.779893,6.883423
118,-18.743223,-13.826587,6.599164
119,-18.973654,-6.8625593,-2.088558
120,-10.011281,-17.430565,4.470292
121,-9.61999,4.543216,21.359121
122,-4.641336,25.205019,-3.1679907
123,-22.318253,-11.413411,-4.4989448
124,1.0042782,0.1233118,18.341164
125,-23.191021,-10.432715,16.075815
126,-26.94302,-22.367083,-2.331584
127,-2.4980216,-14.479178,10.378825
128,-10.242444,27.01392,-10.819635
129,-4.2207737,17.273691,-1.5049274
130,-5.1179748,25.126783,-8.551328
131,-7.1348276,29.382082,-6.1511197
132,-13.891029,-6.5940714,1.1209145
133,10.244121,9.35238,22.707153
134,-12.915482,-1.5920886,17.212723
135,-12.433856,-11.562921,-8.646336
136,-18.297813,-13.966361,-8.272728
137,-10.092346,-14.644179,-0.6278103
138,-6.0853267,2.0530288,25.78553
139,-5.0734005,14.61394,-4.1520424
140,1.76256,3.58508,22.603739
141,-15.548752,-21.81059,4.5557094
142,-7.4228773,-0.8688353,21.266024
143,-23.895405,-10.52808,11.190258
144,-4.507481,29.39544,-11.451795
145,-14.110728,-11.00711,-3.0351555
146,-8.018645,-12.631981,22.212988
147,-8.857659,-18.930313,15.125732
