,PC1,PC2,PC3
0,-0.6374413,5.9542923,6.40377
1,-0.15117873,5.6867476,6.120546
2,-0.4194743,5.2645855,5.968571
3,0.011578289,5.752159,5.428937
4,0.1660314,5.850638,5.8118215
5,0.4175206,5.9084454,5.8606176
6,-0.6489018,5.5319834,6.058107
7,-0.34265032,5.6669006,5.5193615
8,-0.14213003,5.705496,5.585617
9,-0.4571154,5.389971,5.7720737
10,-0.20150372,5.591959,5.392018
11,-0.514517,5.963829,6.471743
12,0.13826853,5.886495,6.0916896
13,0.08378727,5.7589245,6.112088
14,-0.1835423,5.6343656,5.3422966
15,-0.55286396,5.6411366,5.7667785
16,-0.6020921,5.5017233,5.8196344
17,0.19750635,5.9099917,5.9287887
18,0.13370436,5.793264,6.022165
19,0.35443693,5.9501486,5.791206
20,-0.6501079,5.862711,6.5001054
21,-0.617064,5.960095,6.5655003
22,-0.4702646,5.253503,6.0210166
23,-0.14551525,5.6342344,5.4020567
24,0.19236068,5.862592,5.821932
25,-0.2921152,5.246932,6.093079
26,-0.510988,6.0645595,6.581999
27,-0.5488085,6.054343,6.6440353
28,-0.5154027,5.565694,5.68024
29,-0.58149713,5.6363263,6.2641306
30,-0.53021294,5.7063007,6.485176
31,-0.23613314,5.572932,6.2898507
32,-0.45696956,5.298753,5.9510713
33,0.19085881,5.8969073,6.040458
34,-0.45411807,6.1101584,6.6017046
35,-0.57437503,5.7591662,6.447405
36,-0.28540227,5.4975038,6.312173
37,0.3728806,5.857982,5.949197
38,-0.52517796,5.4843483,5.7876115
39,-0.28477424,5.3992248,6.1318507
40,-0.10351819,5.7347918,5.5217786
41,-0.60788286,5.9412193,6.556029
42,-0.3839276,5.192819,5.8771687
43,0.08256111,5.7398963,6.073882
44,-0.3895016,5.565242,6.179958
45,0.049018137,5.701838,6.0573378
46,0.14833687,5.7620697,6.049808
47,6.725074,-2.7161827,11.030117
48,7.051388,-2.6700017,11.731514
49,6.239382,3.096326,5.9722986
50,-0.40149304,5.6042876,5.5771136
51,5.496674,1.2642967,8.500189
52,5.5558968,1.2159152,8.462666
53,6.0887704,2.9779224,5.8451824
54,7.8611035,3.125423,5.3291426
55,7.5340247,5.3513064,6.070267
56,7.5365157,5.148368,5.7903233
57,7.9115543,3.1653104,5.293794
58,7.878999,3.3559396,5.4701214
59,7.717089,2.7576954,5.624768
60,7.811432,3.016049,5.414837
61,7.465569,5.2640195,5.936245
62,7.986035,3.0171525,5.208831
63,6.215476,2.7447755,6.762536
64,7.3378773,5.2951665,6.1372185
65,5.685838,1.433692,8.5491495
66,7.4068503,5.217164,6.0794015
67,7.9841166,2.957282,5.212026
68,5.45512,1.2486224,8.516877
69,7.9805136,2.9865713,5.2159753
70,7.2648697,5.221687,5.870013
71,8.0023,3.0166006,5.1864347
72,7.4333787,5.301716,6.0212684
73,7.413846,5.266192,5.979525
74,7.421722,5.3023777,5.9995494
75,6.16743,3.0306442,5.8389697
76,7.349587,5.287478,6.2100477
77,7.3985415,5.350939,6.1053576
78,7.928052,3.0080311,5.2775702
79,5.4932404,1.2412838,8.533612
80,7.8027735,3.7326386,6.055927
81,7.5684247,5.152662,5.764108
82,7.2607155,5.119743,6.1997027
83,7.5703044,5.1522746,6.0522795
84,6.7521734,-2.6815867,12.0098
85,7.558428,5.17111,5.792342
86,7.3524804,5.2922115,5.956718
87,5.882145,1.2339298,8.517712
88,7.0757236,-2.8316627,11.015061
89,7.318436,-3.8081965,10.492968
90,7.3623676,-2.3693922,11.426931
91,7.1786065,1.4298847,8.622021
92,6.4075894,3.6821887,8.311338
93,6.7987385,2.7838712,7.3463182
94,7.9517164,1.4402158,7.1429806
95,6.748273,4.01961,7.9647255
96,7.7553935,2.1854594,7.0422335
97,7.161503,3.9550788,7.234137
98,5.6524377,2.2453282,6.738961
99,7.153813,3.8447878,7.2992315
100,7.005646,2.973809,7.1774354
101,7.831705,2.1030872,6.937473
102,7.1564565,3.8330956,7.258287
103,6.293816,3.554427,8.500095
104,7.4924674,4.2268157,8.022541
105,6.397969,3.2449625,8.595143
106,5.7710943,2.7442474,5.948263
107,8.219338,1.5592244,6.696081
108,5.3617926,1.5469753,9.200426
109,6.0745864,3.48692,8.013315
110,7.384591,4.0019927,8.259294
111,6.2785764,3.6126974,8.491202
112,8.613699,1.4964436,6.444434
113,7.297303,3.9341712,8.335616
114,5.494449,1.3418843,9.061464
115,6.406145,2.9685628,8.733581
116,8.298536,1.6031296,6.687893
117,5.6823306,1.1876479,8.823024
118,6.4211497,3.4606628,8.528779
119,7.25392,4.358338,7.5870786
