Feature,SHAP_Recurrence_Patient,SHAP_NonRecurrence_Patient
Age,0.0,0.0
Gender_F,0.0,0.0
Gender_M,0.0,-0.014441958669325225
Smoking_No,0.0,0.0
Smoking_Yes,0.0,0.0
Hx Smoking_No,0.0,0.0
Hx Smoking_Yes,0.0,0.0
Hx Radiothreapy_No,0.0,0.0
Hx Radiothreapy_Yes,0.0,0.0
Thyroid Function_Clinical Hyperthyroidism,0.0,0.0
Thyroid Function_Clinical Hypothyroidism,0.0,0.0
Thyroid Function_Euthyroid,0.0,0.0
Thyroid Function_Subclinical Hyperthyroidism,0.0,0.0
Thyroid Function_Subclinical Hypothyroidism,0.0,0.00010068948621490689
Physical Examination_Diffuse goiter,0.13483297336199257,0.0
Physical Examination_Multinodular goiter,0.0,-0.0032922077703597726
Physical Examination_Normal,0.0,0.0
Physical Examination_Single nodular goiter-left,0.0,0.0
Physical Examination_Single nodular goiter-right,0.0,0.0
Adenopathy_Bilateral,0.0,0.0
Adenopathy_Extensive,0.0,0.0
Adenopathy_Left,0.0,0.0
Adenopathy_No,0.0,0.0
Adenopathy_Posterior,0.0,0.0
Adenopathy_Right,0.0,-0.03219252882402122
Pathology_Follicular,0.0,0.0
Pathology_Hurthel cell,0.0,0.0
Pathology_Micropapillary,0.0,0.0
Pathology_Papillary,0.0,0.0
Focality_Multi-Focal,0.0,0.0
Focality_Uni-Focal,0.0,0.0
Risk_High,0.058700734773957375,0.0
Risk_Intermediate,0.0,0.0
Risk_Low,0.0,-0.03197546403379384
T_T1a,0.04267881743907497,0.0
T_T1b,0.02237260654972501,0.0
T_T2,0.0,0.0
T_T3a,0.0,0.0
T_T3b,0.08745358497999686,0.0
T_T4a,-0.034813301403237136,0.0
T_T4b,0.0,0.0
N_N0,0.0,-0.012598062066946854
N_N1a,0.024817766761743035,0.0
N_N1b,0.0,0.0
M_M0,0.01714491434020191,-0.019103009674659603
M_M1,0.08338684312140715,0.0
Stage_I,0.0,-0.027564544664107408
Stage_II,0.0,0.0
Stage_III,0.0,0.0
Stage_IVA,0.0,0.0
Stage_IVB,0.0,0.0
Response_Biochemical Incomplete,0.0,0.0
Response_Excellent,0.0,-0.0020250365757705155
Response_Indeterminate,0.0,0.0
Response_Structural Incomplete,0.02492400764503138,-0.0321421259036286
