Feature,Mean_SHAP_Value
Response_Structural Incomplete,0.02157312900010136
Risk_Low,0.017339644445113257
Adenopathy_No,0.015716989706111958
N_N0,0.014607535065837365
Response_Excellent,0.014591947575936726
Risk_High,0.01160163883206795
N_N1b,0.011139093626749884
Stage_I,0.010569797504478905
Focality_Multi-Focal,0.00849997089110883
Risk_Intermediate,0.008337133761723665
M_M1,0.007865157394518138
Stage_IVB,0.00778571325246217
Focality_Uni-Focal,0.0076204140121591225
Adenopathy_Bilateral,0.007549121673077355
T_T1a,0.007433005030673219
Hx Radiothreapy_No,0.006709083502033166
T_T4a,0.006506102969734331
Response_Indeterminate,0.0054007593826551304
Gender_F,0.005279499560792976
N_N1a,0.004931851049702014
M_M0,0.0049133197296579645
Pathology_Papillary,0.004707616481385642
Adenopathy_Right,0.004326104726421389
Stage_II,0.004323146980509332
Physical Examination_Single nodular goiter-right,0.004183904430306985
Hx Radiothreapy_Yes,0.003981106743210947
Physical Examination_Single nodular goiter-left,0.003884661675820012
Age,0.0036972943301458614
Physical Examination_Multinodular goiter,0.0034952245367189994
Adenopathy_Extensive,0.0033583568274706704
T_T4b,0.0032962218048544272
T_T2,0.003076541657006635
Pathology_Micropapillary,0.0029503860771514763
Gender_M,0.002786256745137005
Smoking_No,0.0027427730589902576
T_T3a,0.002620953407440858
Thyroid Function_Subclinical Hypothyroidism,0.002536772209340189
Physical Examination_Diffuse goiter,0.0025232615315407877
Pathology_Follicular,0.002097794516227747
T_T1b,0.0020041894719893707
Thyroid Function_Euthyroid,0.0019976650023342223
Hx Smoking_No,0.0013310016999541806
Adenopathy_Left,0.0012491108789138687
Response_Biochemical Incomplete,0.0012008988647359354
Hx Smoking_Yes,0.0009614780472417045
Thyroid Function_Clinical Hyperthyroidism,0.0006757235758869208
Thyroid Function_Subclinical Hyperthyroidism,0.000528790831118569
Adenopathy_Posterior,0.000516397608382957
T_T3b,0.00031173964810426676
Smoking_Yes,0.0003095280140614117
Thyroid Function_Clinical Hypothyroidism,0.0
Stage_III,0.0
Stage_IVA,0.0
Physical Examination_Normal,0.0
Pathology_Hurthel cell,0.0
